r	636	170	10	10	0	0	60s	100	1	1069
r	600	173	10	10	0	0	60s	100	1	1069
r	649	159	10	10	0	0	60s	100	1	1068
r	623	208	10	10	0	0	60s	100	1	1068
r	644	171	10	10	0	0	60s	100	1	1068
r	607	218	10	10	0	0	60s	100	1	1068
r	623	200	10	10	0	0	60s	100	1	1069
r	624	142	10	10	0	0	60s	100	1	1068
r	589	196	10	10	0	0	60s	100	1	1068
r	646	159	10	10	0	0	60s	100	1	1068
r	597	207	10	10	0	0	60s	100	1	1068
r	637	181	10	10	0	0	60s	100	1	1069
r	600	183	10	10	0	0	60s	100	1	1069
r	657	168	10	10	0	0	60s	100	1	1068
r	628	215	10	10	0	0	60s	100	1	1068
r	651	186	10	10	0	0	60s	100	1	1068
r	606	168	10	10	0	0	60s	100	1	1069
r	629	170	10	10	0	0	60s	100	1	1069
r	607	158	10	10	0	0	60s	100	1	1068
r	600	205	10	10	0	0	60s	100	1	1068
r	656	168	10	10	0	0	60s	100	1	1068
r	607	213	10	10	0	0	60s	100	1	1068
r	622	194	10	10	0	0	60s	100	1	1069
r	608	196	10	10	0	0	60s	100	1	1069
r	646	183	10	10	0	0	60s	100	1	1068
r	615	153	10	10	0	0	60s	100	1	1068
r	633	203	10	10	0	0	60s	100	1	1068
r	630	178	10	10	0	0	60s	100	1	1069
r	640	179	10	10	0	0	60s	100	1	1069
r	584	166	10	10	0	0	60s	100	1	1068
r	618	212	10	10	0	0	60s	100	1	1068
r	649	182	10	10	0	0	60s	100	1	1068



g	607	218	10	10	0	0	60s	100	1	1033
